source_file,sheet,province,text
all_programs_2027.xlsx,RICE,Cagayan,"Cagayan, Isabela, Nueva Vizcaya, Quirino"
all_programs_2027.xlsx,RICE,,Caagayan- District 1
all_programs_2027.xlsx,RICE,Cagayan,TBD
all_programs_2027.xlsx,RICE,,Regionwide
all_programs_2027.xlsx,OAP,,Region
all_programs_2027.xlsx,F2C2,,Regionwide
all_programs_2027.xlsx,F2C2,,Regionwide
all_programs_2027.xlsx,F2C2,,Regionwide
all_programs_2027.xlsx,F2C2,,Regionwide
all_programs_2027.xlsx,F2C2,,Regionwide
