province,municipality,rcpc_incident_records,rcpc_incident_points,rcpc_commodities,rcpc_top_commodity,rcpc_top_pest_family,rcpc_latest_year,rcpc_recent_year_start,rcpc_recent_year_end,rcpc_recent_years,rcpc_latest_report_date,rcpc_total_planted_area_ha,rcpc_monitored_area_ha,rcpc_affected_area_ha,rcpc_treated_area_ha,rcpc_untreated_area_ha,rcpc_treatment_gap_ha,rcpc_affected_farmers,rcpc_avg_infestation_pct,rcpc_max_infestation_pct,rcpc_avg_severity,rcpc_high_severity_records,rcpc_recent_records,rcpc_recent_affected_area_ha,rcpc_recent_affected_farmers,rcpc_recent_treatment_gap_ha,rcpc_rice_affected_area_ha,rcpc_corn_affected_area_ha,rcpc_hvc_affected_area_ha,rcpc_cassava_affected_area_ha,rcpc_rice_records,rcpc_corn_records,rcpc_hvc_records,rcpc_cassava_records,rcpc_pest_pressure_score,rcpc_surveillance_priority_score,rcpc_response_gap_score,rcpc_risk_class
Isabela,Burgos,247,247,rice; corn; hvc,rice,Rodents,2026,2025,2026,2025-2026,,18263.18,9501.35,5340.17,4781.62,788.5,788.5,3449,13.44,60,3.17,11,68,251.47,1003,26.15,4244.52,1065.4,30.25,0,192,45,10,0,77.1,84.84,45.73,Critical
Isabela,Cabagan,87,87,corn; rice; hvc,corn,Fall Armyworm,2025,2024,2025,2024-2025,,10062.1,6724.03,3977.56,3886.4,3.2,3.2,2526,22.49,90,5.29,7,7,142.49,36,3.2,247.39,3638.37,91.8,0,36,49,2,0,69.63,60.08,0.5,High
Isabela,Cabatuan,307,307,rice; corn; hvc,rice,Rodents,2026,2025,2026,2025-2026,,50853.65,14343.91,4637.96,4393.35,2395.29,2395.29,4553,12.21,78,3.81,37,77,431.56,1561,397.16,4113.02,488.94,36.01,0,229,54,24,0,77.58,89.91,87.91,Critical
Isabela,Cauayan City,148,148,rice; corn; cassava; hvc,rice,Fall Armyworm,2025,2024,2025,2024-2025,,8087.4,3689.25,3669,1187.03,2532.73,2532.73,3702,24.35,90,5.35,40,91,2334.11,2564,1973.73,454.23,915.73,0.04,2299,64,47,2,35,81.07,91.48,92.26,Critical
Isabela,City of Ilagan,426,425,corn; rice; cassava; hvc,corn,Fall Armyworm,2026,2025,2026,2025-2026,,22589.37,18151.6,7711.62,6204.47,1628.49,1628.49,5464,20.59,95,5.06,66,67,605.42,617,88.04,1035.69,6078.3,3.13,594.5,109,282,6,29,83.9,92.76,64.08,Critical
Isabela,Cordon,16,16,rice; corn,rice,Fall Armyworm,2025,2024,2025,2024-2025,,1062.5,783.6,301.26,299.83,1.43,1.43,155,18.12,60,2.91,4,11,289.66,155,1.43,20.36,280.9,0,0,11,5,0,0,31.63,67.2,0.33,High
Isabela,Delfin Albano,106,106,rice; corn,rice,Fall Armyworm,2026,2025,2026,2025-2026,,16955.56,5499.2,2405.1,2343.47,74.63,74.63,1812,26.97,89,2.92,24,20,233,404,74.63,1367.24,1037.86,0,0,72,34,0,0,73.36,81.31,11.97,Critical
Isabela,Dinapiguie,1,1,rice,rice,Plant Hopper,2025,2024,2025,2024-2025,,48,48,48,10,40,40,50,50,50,8,1,1,48,50,40,48,0,0,0,1,0,0,0,36.58,29.01,26.83,Moderate
Isabela,Echague,115,111,corn; rice; hvc,corn,Fall Armyworm,2026,2025,2026,2025-2026,,6139.88,5504.35,1836.2,1808.3,47.79,47.79,2175,20.52,64.4,2.92,24,48,293.6,614,44.4,665.22,1167.3,3.68,0,32,73,10,0,71.73,86.64,7.48,Critical
Isabela,Gamu,140,140,rice; corn,rice,Fall Armyworm,2026,2025,2026,2025-2026,,10248.2,4561.35,2200.01,2115.56,621.75,621.75,2578,11.83,70,3.15,4,53,361.61,1353,83.85,1870.71,329.3,0,0,109,31,0,0,70.27,86.62,46.54,Critical
Isabela,Jones,50,49,corn; rice; hvc,corn,Fall Armyworm,2025,2024,2025,2024-2025,,2709.36,2288.56,1319.19,1319.08,98.71,98.71,1341,24.12,90.32,5,11,13,90.61,177,10.01,170.49,1137.79,10.91,0,13,26,11,0,55.57,59.07,7.81,High
Isabela,Luna,164,164,corn; rice; hvc,corn,Fall Armyworm,2026,2025,2026,2025-2026,,6284.49,4650.19,1718.05,1297.76,330.29,330.29,2420,14.29,60,3.49,8,42,170.65,858,31.25,888.7,781.85,47.5,0,58,100,6,0,70.67,73.87,24.45,High
Isabela,Maddela,2,2,corn,corn,Fall Armyworm,2019,2018,2019,2018-2019,,16,16,16,16,0,0,0,1,1,0,0,2,16,0,0,0,16,0,0,0,2,0,0,1.66,5.35,0,Watchlist
Isabela,Mallig,118,118,rice; corn; hvc,rice,Fall Armyworm,2026,2025,2026,2025-2026,,8837.9,4153.7,1061.44,977.74,65.9,65.9,960,15.97,60,3.37,14,36,224.79,150,2.9,531.39,500.75,29.3,0,77,25,16,0,55.73,72.56,5.14,High
Isabela,Naguilian,77,77,rice; corn; cassava,rice,Cassava Phytoplasma/Mosaic,2025,2024,2025,2024-2025,,3611.98,1669.3,1660.25,913.33,831.45,831.45,1478,20.13,80,5,16,48,880.75,1194,486.45,638.3,467.95,0,554,43,19,0,15,69.47,86.26,79.09,Critical
Isabela,Quezon,106,106,rice; corn; hvc,rice,Fall Armyworm,2026,2025,2026,2025-2026,,7517.5,4815.1,1780.61,1453.61,338.5,338.5,917,13.21,60,2.43,10,32,367.5,165,3.5,1241.96,537.45,1.2,0,83,19,4,0,66.34,84.85,22.03,Critical
Isabela,Quirino,121,121,corn; rice,corn,Fall Armyworm,2026,2025,2026,2025-2026,,7870.77,6594.17,2618.2,2192.25,365.45,365.45,1314,12.58,60,2.56,3,34,293.58,214,3.2,1202.85,1415.35,0,0,59,62,0,0,67.74,84.84,22.08,Critical
Isabela,Ramon,61,61,rice; hvc; corn,rice,Plant Hopper,2026,2025,2026,2025-2026,,9645.41,5356.32,3743.32,3733.61,3.6,3.6,686,10.93,65,4.62,4,14,91.61,268,0,3721.81,20.3,1.21,0,54,2,5,0,58.08,60.3,0.2,High
Isabela,Reina Mercedes,138,138,corn; hvc; rice,corn,Fall Armyworm,2026,2025,2026,2025-2026,,3046.5,2960.1,1004.52,941.61,91.8,91.8,1940,19.23,100,3.99,17,41,188.53,735,44.5,82.5,905.73,16.29,0,16,96,26,0,57.83,69.88,11.32,High
Isabela,Roxas,276,276,rice; corn; hvc,rice,Fall Armyworm,2026,2025,2026,2025-2026,,14955.45,8143.09,3002.83,3821.96,421.17,421.17,1778,13.46,77,3.48,25,60,386.39,252,9.17,1819.98,1117.85,65,0,150,91,35,0,77.65,89.94,25.48,Critical
Isabela,San Agustin,57,57,corn; rice; hvc,corn,Fall Armyworm,2026,2025,2026,2025-2026,,4409.56,4165.96,949.92,942.71,11.3,11.3,313,28.74,80,3.4,17,2,4.45,12,0,141.62,804.09,4.21,0,21,34,2,0,45.03,32.21,0.86,Moderate
Isabela,San Guillermo,22,22,corn; rice; hvc,corn,Fall Armyworm,2025,2024,2025,2024-2025,,812.75,736.45,534.09,431.14,342,342,294,13.19,70,3,2,4,4.09,34,0,83,449.49,1.6,0,8,13,1,0,24.74,25.79,33.11,Watchlist
Isabela,San Isidro,32,32,rice,rice,Stem/Shoot/Fruit Borer,2026,2025,2026,2025-2026,,7641.62,1888.12,287.79,279.05,8.74,8.74,358,9.26,19.2,3.25,0,9,76.69,155,0,287.79,0,0,0,32,0,0,0,22.18,42.65,1.2,Moderate
Isabela,San Manuel,120,118,rice; hvc,rice,Rodents,2026,2025,2026,2025-2026,,25099.5,5750.39,3346.39,2442.77,801.1,801.1,2334,10.11,25,4.04,6,29,194.96,1030,14,3066.27,0,280.11,0,108,0,12,0,66.73,74.52,47.44,High
Isabela,San Mariano,35,35,corn; rice; cassava,corn,Fall Armyworm,2026,2025,2026,2025-2026,,3722.63,3173.6,603.3,597.3,328,328,251,32.25,87.5,5.33,9,2,11.6,14,0,70.1,480.2,0,53,6,24,0,5,41.22,30.46,29.99,Moderate
