province,municipality,plans_projects_2025_count,plans_projects_2025_budget,plans_projects_2026_count,plans_projects_2026_budget,plans_projects_2027_count,plans_projects_2027_budget,plans_projects_total_count,plans_projects_total_budget,plans_projects_2027_physical_target,plans_rice_2027_budget,plans_corn_2027_budget,plans_hvc_2027_budget,plans_fmr_2027_count,plans_fmr_2027_budget,plans_fmr_2027_length_km,plans_irrigation_2027_count,plans_irrigation_2027_budget,plans_2027_programs,plans_source_files
Batanes,Basco (Capital),0,0.00,1,15000.00,16,76902.14,17,91902.14,9758.60,0.00,0.00,2856.66,5,73500.00,2.30,0,0.00,4Ks | Farm-to-Market Roads | High Value Crops | SAAD,all_programs_2027.xlsx | batanes.xlsx
Batanes,Itbayat,1,15000.00,1,20000.00,13,87345.41,15,122345.41,9739.25,0.00,0.00,2856.66,4,84100.00,3.50,0,0.00,Farm-to-Market Roads | High Value Crops | SAAD,all_programs_2027.xlsx | batanes.xlsx
Batanes,Ivana,0,0.00,1,20000.00,10,100492.08,11,120492.08,5.92,0.00,0.00,483.33,3,99620.00,2.32,0,0.00,Farm-to-Market Roads | High Value Crops | SAAD,all_programs_2027.xlsx | batanes.xlsx
Batanes,Mahatao,0,0.00,1,10000.00,3,12983.33,4,22983.33,1.17,0.00,0.00,483.33,1,12500.00,0.50,0,0.00,Farm-to-Market Roads | High Value Crops,all_programs_2027.xlsx | batanes.xlsx
Batanes,Sabtang,0,0.00,0,0.00,5,54983.33,5,54983.33,1.17,0.00,0.00,483.33,3,54500.00,2.00,0,0.00,Farm-to-Market Roads | High Value Crops,all_programs_2027.xlsx | batanes.xlsx
Batanes,Uyugan,1,15000.00,0,0.00,13,135945.41,14,150945.41,9739.25,0.00,0.00,2856.66,4,132700.00,3.10,0,0.00,Farm-to-Market Roads | High Value Crops | SAAD,all_programs_2027.xlsx | batanes.xlsx
Cagayan,Abulug,4,50000.00,12,270000.00,10,10223.66,26,330223.66,4217.08,6400.00,0.00,1028.84,0,0.00,0.00,0,0.00,High Value Crops | LIVESTOCK | OAP | Rice Program,all_programs_2027.xlsx | cagayan_2.xlsx
Cagayan,Alcala,1,15000.00,4,75000.00,24,264281.71,29,354281.71,12652.17,64555.51,5636.07,1895.31,8,189450.00,12.63,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | OAP | Rice Program,all_programs_2027.xlsx | cagayan_1.xlsx
Cagayan,Allacapan,1,15000.00,0,0.00,9,54240.75,10,69240.75,1108.58,0.00,0.00,145.93,3,54000.00,3.60,0,0.00,Farm-to-Market Roads | High Value Crops | OAP,all_programs_2027.xlsx | cagayan_2.xlsx
Cagayan,Amulung,2,30000.00,3,45000.00,7,16440.75,12,91440.75,1105.41,0.00,0.00,145.93,1,15000.00,1.00,1,1250.00,Farm-to-Market Roads | High Value Crops | OAP | Research and Development (R4),all_programs_2027.xlsx | cagayan_3.xlsx
Cagayan,Aparri,1,15000.00,0,0.00,13,129414.58,14,144414.58,11852.67,64555.51,2638.57,675.68,1,61500.00,4.10,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | OAP | Rice Program,all_programs_2027.xlsx | cagayan_1.xlsx
Cagayan,Baggao,1,15000.00,5,75000.00,16,118385.66,22,208385.66,9983.17,64555.51,2439.40,2145.93,3,46500.00,3.10,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | OAP | Rice Program,all_programs_2027.xlsx | cagayan_1.xlsx
Cagayan,Ballesteros,2,30000.00,0,0.00,9,3823.66,11,33823.66,4216.08,0.00,0.00,1028.84,0,0.00,0.00,0,0.00,High Value Crops | LIVESTOCK | OAP,all_programs_2027.xlsx | cagayan_2.xlsx
Cagayan,Buguey,0,0.00,2,30000.00,9,80406.26,11,110406.26,9862.17,64555.51,660.00,145.93,1,15000.00,1.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | OAP | Rice Program,all_programs_2027.xlsx | cagayan_1.xlsx
Cagayan,Calayan,0,0.00,0,0.00,11,21240.75,11,21240.75,1116.92,0.00,0.00,145.93,1,21000.00,1.40,0,0.00,Farm-to-Market Roads | High Value Crops | OAP | SAAD,all_programs_2027.xlsx | cagayan_2.xlsx
