province,municipality,plans_projects_2025_count,plans_projects_2025_budget,plans_projects_2026_count,plans_projects_2026_budget,plans_projects_2027_count,plans_projects_2027_budget,plans_projects_total_count,plans_projects_total_budget,plans_projects_2027_physical_target,plans_rice_2027_budget,plans_corn_2027_budget,plans_hvc_2027_budget,plans_fmr_2027_count,plans_fmr_2027_budget,plans_fmr_2027_length_km,plans_irrigation_2027_count,plans_irrigation_2027_budget,plans_2027_programs,plans_source_files
Batanes,Basco (Capital),0,0.00,1,15000.00,17,76568.81,18,91568.81,14431.77,0.00,0.00,2523.33,5,73500.00,2.30,0,0.00,4Ks | Farm-to-Market Roads | High Value Crops | SAAD,batanes.xlsx | fy_2027_hvcdp.xlsx
Batanes,Itbayat,1,15000.00,1,20000.00,14,87012.08,16,122012.08,14412.42,0.00,0.00,2523.33,4,84100.00,3.50,0,0.00,Farm-to-Market Roads | High Value Crops | SAAD,batanes.xlsx | fy_2027_hvcdp.xlsx
Batanes,Ivana,0,0.00,1,20000.00,13,102532.08,14,122532.08,14412.42,0.00,0.00,2523.33,3,99620.00,2.32,0,0.00,Farm-to-Market Roads | High Value Crops | SAAD,batanes.xlsx | fy_2027_hvcdp.xlsx
Batanes,Mahatao,0,0.00,1,10000.00,4,12650.00,5,22650.00,4674.34,0.00,0.00,150.00,1,12500.00,0.50,0,0.00,Farm-to-Market Roads | High Value Crops,batanes.xlsx | fy_2027_hvcdp.xlsx
Batanes,Sabtang,0,0.00,0,0.00,6,54650.00,6,54650.00,4674.34,0.00,0.00,150.00,3,54500.00,2.00,0,0.00,Farm-to-Market Roads | High Value Crops,batanes.xlsx | fy_2027_hvcdp.xlsx
Batanes,Uyugan,1,15000.00,0,0.00,12,133238.75,13,148238.75,4679.09,0.00,0.00,150.00,4,132700.00,3.10,0,0.00,Farm-to-Market Roads | High Value Crops | SAAD,batanes.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Abulug,4,50000.00,12,270000.00,14,21875.55,30,341875.55,6840.08,14504.08,0.00,4671.47,0,0.00,0.00,0,0.00,Corn Program | High Value Crops | LIVESTOCK | Rice Program,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Alcala,1,15000.00,4,75000.00,32,211182.74,37,301182.74,133472.00,0.00,16403.61,2629.13,8,189450.00,12.63,1,2000.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Allacapan,1,15000.00,0,0.00,11,66759.73,12,81759.73,627.58,10704.08,1350.00,705.65,3,54000.00,3.60,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Amulung,2,30000.00,3,45000.00,27,74132.17,32,149132.17,370641.68,11754.55,40901.14,6476.48,1,15000.00,1.00,1,1250.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
